Time,Open,High,Low,Close,Volume,target
2020-01-16 09:00:00,1.11564,1.11593,1.11502,1.11534,7466,0.8103010364307508
2020-01-16 10:00:00,1.11533,1.11632,1.11526,1.11573,5904,0.42839240213343
2020-01-16 11:00:00,1.11573,1.11606,1.11557,1.11589,5007,0.9294417981558689
2020-01-16 12:00:00,1.11589,1.11727,1.11567,1.11647,8427,-0.9992836738720814
2020-01-16 13:00:00,1.11647,1.11697,1.11501,1.11514,13238,-0.9767048579576643
2020-01-16 14:00:00,1.11513,1.11602,1.11411,1.11414,14141,-0.14359063446660592
2020-01-16 15:00:00,1.11414,1.11468,1.1131,1.11407,16114,-0.974266873130663
2020-01-16 16:00:00,1.11407,1.11423,1.11279,1.11302,10464,0.6818054812496308
2020-01-16 17:00:00,1.11303,1.1136,1.11291,1.11346,5171,0.0
2020-01-16 18:00:00,1.11347,1.11361,1.11317,1.11346,3921,0.03717449853468896
2020-01-16 19:00:00,1.11346,1.11355,1.11326,1.11348,3021,0.5209806464250589
2020-01-16 20:00:00,1.11348,1.11381,1.11345,1.11379,2676,-0.37086227721975745
2020-01-16 21:00:00,1.11378,1.11381,1.11343,1.11358,1488,0.2536870005909324
2020-01-16 22:00:00,1.11358,1.11378,1.11343,1.11372,1865,-0.07371419506968499
2020-01-16 23:00:00,1.11371,1.11376,1.11355,1.11368,1254,0.1106518053860263
2020-01-17 00:00:00,1.11368,1.11392,1.11351,1.11374,2156,-0.11056092660677534
2020-01-17 01:00:00,1.11375,1.1139,1.11339,1.11368,3053,-0.11059474544299566
2020-01-17 02:00:00,1.11368,1.11425,1.11362,1.11362,2932,-0.7540184938872214
2020-01-17 03:00:00,1.11362,1.11378,1.11308,1.11309,2349,0.18064976396945542
2020-01-17 04:00:00,1.11309,1.11337,1.11309,1.11319,1930,0.7133950383596483
2020-01-17 05:00:00,1.11318,1.11376,1.11318,1.11364,1621,0.5498221931171239
2020-01-17 06:00:00,1.11364,1.11403,1.11347,1.11396,2541,-0.5656666760742793
2020-01-17 07:00:00,1.11395,1.11411,1.11348,1.11363,5370,-0.15445857822518622
2020-01-17 08:00:00,1.11363,1.11396,1.11339,1.11355,6267,-0.9246821777459997
2020-01-17 09:00:00,1.11355,1.11376,1.11248,1.11276,9978,-0.9909353739701006
2020-01-17 10:00:00,1.11275,1.11282,1.11157,1.1116,8581,-0.6779040225353103
2020-01-17 11:00:00,1.11158,1.11158,1.11063,1.11123,8871,-0.5035520893238287
2020-01-17 12:00:00,1.11124,1.11147,1.11059,1.11098,7697,-0.9821546542486177
2020-01-17 13:00:00,1.11097,1.11119,1.1098,1.11004,12099,0.023860944566257525
2020-01-17 14:00:00,1.11004,1.11061,1.10956,1.11005,10515,-0.9213869339087212
2020-01-17 15:00:00,1.11007,1.11028,1.10862,1.10938,14931,-0.45226038820384923
2020-01-17 16:00:00,1.10938,1.10961,1.10888,1.10917,7658,-0.14413135886747142
2020-01-17 17:00:00,1.10917,1.10949,1.1088,1.10911,4969,0.3250281291408392
2020-01-17 18:00:00,1.1091,1.10943,1.10902,1.10925,3251,0.14351466660421444
2020-01-17 19:00:00,1.10926,1.10946,1.10905,1.10931,1981,-0.09537560530450381
2020-01-17 20:00:00,1.1093,1.10933,1.10913,1.10927,2593,-0.7119527815147816
2020-01-17 21:00:00,1.10925,1.10928,1.10886,1.1089,2517,0.32551619456909614
2020-01-19 22:00:00,1.1091,1.1093,1.1089,1.10904,1511,0.7602204956528988
2020-01-19 23:00:00,1.10904,1.10948,1.10889,1.10946,1769,-0.38846550035977656
2020-01-20 00:00:00,1.10946,1.10985,1.10926,1.10928,3318,0.6546856807172091
2020-01-20 01:00:00,1.10929,1.10977,1.10924,1.10962,3108,0.20806072917274987
2020-01-20 02:00:00,1.10962,1.10974,1.10949,1.10971,1995,-0.2816685948229102
2020-01-20 03:00:00,1.1097,1.10989,1.10951,1.10959,1875,0.14391930811890585
2020-01-20 04:00:00,1.10959,1.10965,1.1094,1.10965,1633,0.32340378231529926
2020-01-20 05:00:00,1.10965,1.10989,1.10949,1.10979,2254,0.5725344330972868
2020-01-20 06:00:00,1.10979,1.11011,1.10975,1.11005,2702,-0.9540311134067523
2020-01-20 07:00:00,1.11006,1.11023,1.10939,1.10943,7555,-0.9103500865178311
2020-01-20 08:00:00,1.10943,1.10973,1.10886,1.1089,6465,0.1657772282511416
2020-01-20 09:00:00,1.1089,1.10914,1.10821,1.10896,7591,-0.9494128223496023
2020-01-20 10:00:00,1.10895,1.10906,1.10829,1.10841,4752,0.4369029728341972
2020-01-20 11:00:00,1.1084,1.10882,1.1084,1.10856,4113,-0.5480475062960669
2020-01-20 12:00:00,1.10857,1.10871,1.10827,1.10838,3118,-0.10254558543266196
2020-01-20 13:00:00,1.10839,1.10855,1.10805,1.10835,5400,-0.4735296394467472
2020-01-20 14:00:00,1.10834,1.10845,1.10792,1.1082,4450,0.23732242711138776
2020-01-20 15:00:00,1.10821,1.10852,1.10766,1.10827,5936,0.36260148667805736
